SKU Parent,SKU119 LATAM,SKU121 LATAM,SKU115 LATAM,SKU110 APAC,SKU116 LATAM,SKU123 LATAM,SKU124 LATAM,SKU103 LATAM,SKU114 LATAM,SKU101 LATAM,SKU105 EMEA,SKU111 LATAM,SKU108 LATAM,SKU107 LATAM,SKU112 APAC,SKU110 LATAM,SKU114 NA,SKU106 APAC,SKU112 LATAM,SKU117 LATAM,SKU107 APAC,SKU107 EMEA,SKU114 APAC,SKU115 APAC,SKU106 LATAM,SKU113 APAC,SKU118 LATAM,SKU116 NA,SKU105 APAC,SKU101 EMEA,SKU111 APAC,SKU102 APAC,SKU109 LATAM,SKU118 APAC,SKU117 APAC,SKU102 EMEA,SKU110 NA,SKU120 APAC,SKU109 EMEA,SKU110 EMEA,SKU108 EMEA,SKU111 NA,SKU119 EMEA,SKU122 APAC,SKU118 NA,SKU108 APAC,SKU106 EMEA,SKU100 NA,SKU116 EMEA,SKU117 NA,SKU113 EMEA,SKU112 EMEA,SKU109 NA,SKU115 EMEA,SKU115 NA,SKU104 APAC,SKU106 NA,SKU103 NA,SKU109 APAC,SKU102 NA,SKU105 NA,SKU117 EMEA,SKU103 EMEA,SKU119 APAC,SKU107 NA,SKU112 NA,SKU118 EMEA,SKU104 EMEA,SKU101 NA,SKU114 EMEA,SKU113 NA,SKU123 NA
225168,900,780,466,2250,1000,768,920,1080,956,636,3600,484,1652,1020,1950,700,4500,1165,928,1400,2500,3120,1920,2300,1680,2700,920,3900,2390,1864,1590,1210,1723,4130,2550,4000,2330,1750,3072,3680,4320,5000,3824,2320,3840,3500,2544,4600,1936,5400,6608,4080,4780,2800,3180,4200,2420,8260,2300,5100,3500,3712,5600,4309,4640,7000,6720,3680,8400,6894,4600,8617
248808,700,1840,508,1750,892,888,956,1420,960,736,2800,676,966,1046,4600,900,3500,1270,1176,1880,2230,7360,2220,2390,2000,3550,670,9200,2400,2032,1840,1690,1691,2415,2615,3568,2540,2250,3552,3824,5680,4460,3840,2940,4440,4700,2944,4780,2704,7100,3864,4184,4800,3600,3680,5000,3380,4830,1675,5230,4500,4704,7520,4227,5880,9400,8000,2680,10000,6762,3350,8453
242745,790,600,560,1975,1168,1152,1304,1330,1180,1220,3160,546,960,1040,1500,780,3950,1400,1080,1560,2920,2400,2880,3260,1300,3325,700,3000,2950,2240,3050,1365,2150,2400,2600,4672,2800,1950,4608,5216,5320,5840,4720,2700,5760,3900,4880,6520,2184,6650,3840,4160,5900,3120,6100,3250,2730,4800,1750,5200,3900,4320,6240,5374,5400,7800,5200,2800,6500,8598,3500,10748
194010,640,1110,482,1600,912,828,896,1210,840,860,2560,336,868,760,2775,540,3200,1205,968,1560,2280,4440,2070,2240,780,3025,470,5550,2100,1928,2150,840,1461,2170,1900,3648,2410,1350,3312,3584,4840,4560,3360,2420,4140,3900,3440,4480,1344,6050,3472,3040,4200,2160,4300,1950,1680,4340,1175,3800,2700,3872,6240,3652,4840,7800,3120,1880,3900,5843,2350,7304
209450,710,660,560,1775,1096,468,1068,1170,1020,432,2840,436,972,1002,1650,620,3550,1400,1224,1480,2740,2640,1170,2670,560,2925,1390,3300,2550,2240,1080,1090,1888,2430,2505,4384,2800,1550,1872,4272,4680,5480,4080,3060,2340,3700,1728,5340,1744,5850,3888,4008,5100,2480,2160,1400,2180,4860,3475,5010,3100,4896,5920,4720,6120,7400,2240,5560,2800,7552,6950,9440
218688,810,940,442,2025,1152,840,1132,1330,1088,376,3240,440,462,884,2350,560,4050,1105,908,1330,2880,3760,2100,2830,1980,3325,1390,4700,2720,1768,940,1100,1431,1155,2210,4608,2210,1400,3360,4528,5320,5760,4352,2270,4200,3325,1504,5660,1760,6650,1848,3536,5440,2240,1880,4950,2200,2310,3475,4420,2800,3632,5320,3578,4540,6650,7920,5560,9900,5724,6950,7155
224725,1150,1250,1214,2875,1308,756,1408,1230,1164,740,4600,320,418,962,3125,470,5750,3035,1000,1470,3270,5000,1890,3520,580,3075,1030,6250,2910,4856,1850,800,1508,1045,2405,5232,6070,1175,3024,5632,4920,6540,4656,2500,3780,3675,2960,7040,1280,6150,1672,3848,5820,1880,3700,1450,1600,2090,2575,4810,2350,4000,5880,3770,5000,7350,2320,4120,2900,6032,5150,7540
243410,1070,910,1312,2675,1092,936,1248,950,1232,456,4280,542,978,938,2275,600,5350,3280,1048,1210,2730,3640,2340,3120,1260,2375,1540,4550,3080,5248,1140,1355,2151,2445,2345,4368,6560,1500,3744,4992,3800,5460,4928,2620,4680,3025,1824,6240,2168,4750,3912,3752,6160,2400,2280,3150,2710,4890,3850,4690,3000,4192,4840,5377,5240,6050,5040,6160,6300,8603,7700,10754
241003,800,1710,1224,2000,1072,1188,1280,960,1412,404,3200,446,900,1078,4275,630,4000,3060,956,1450,2680,6840,2970,3200,900,2400,850,8550,3530,4896,1010,1115,2020,2250,2695,4288,6120,1575,4752,5120,3840,5360,5648,2390,5940,3625,1616,6400,1784,4800,3600,4312,7060,2520,2020,2250,2230,4500,2125,5390,3150,3824,5800,5051,4780,7250,3600,3400,4500,8081,4250,10101
245565,930,880,1308,2325,1092,924,1308,1170,1352,360,3720,632,912,946,2200,550,4650,3270,1012,1240,2730,3520,2310,3270,1280,2925,1360,4400,3380,5232,900,1580,2389,2280,2365,4368,6540,1375,3696,5232,4680,5460,5408,2530,4620,3100,1440,6540,2528,5850,3648,3784,6760,2200,1800,3200,3160,4560,3400,4730,2750,4048,4960,5973,5060,6200,5120,5440,6400,9557,6800,11946
